Cost	CampaignName
2307150000	Индия
339840000	Корея
2859850000	США
54920000	Япония
0	Вьетнам
2650820000	Китай Авиа Новая
0	Китай ЖД Новая
0	Китай контейнер Новая
5079040000	Китай общая и города
0	Норильск
332980000	ЮС
0	Израиль
0	Турция
0	Фирмы АТ
0	Общая АТ (копия 2)
0	sf_display_kitai_cpa
278310000	Турция Транзит КС
577520000	sf_search_retargeting_manual
0	sf_display_retargeting_manual
67340000	Бренд КС
0	sf_display_india_cpl
232900000	ОАЭ КС
0	Норильск АТ СРМ
0	ЮС АТ СРМ
0	Бренд АТ СРМ
0	МК Китай авиа СРМ
0	МК Китай ЖД СРМ
0	МК Контейнер СРМ
0	МК Китай Общая СРМ
0	МК Индия СРМ
0	sf_display_all_CRM_cpl
0	МК США СРМ 
0	МК Корея СРМ  
0	МК Израиль СРМ   
0	МК Япония СРМ    
0	МК ОАЭ СРМ   
0	МК Транзит СРМ    
1178680000	Китай Максимум кликов
0	Китай контейнер Новая АТ СРМ+
0	Япония АТ СРМ+
0	Образцы АТ СРМ+
0	Бренд АТ СРМ+
0	Общая кампания АТ
0	Китай Авиа Новая ОКК
0	Китай контейнер Новая ОКК
0	Китай общая и города ОКК
247450000	Корея ОКК
0	США ОКК
525920000	Япония ОКК
0	Вьетнам ОКК
611310000	Норильск ОКК
710900000	ЮС ОКК
136870000	Израиль ОКК
0	Сингапур ОКК
0	Образцы ОКК
69130000	Турция Транзит ОКК
3632710000	Бренд ОКК
315970000	ОАЭ ОКК
0	sf_smart_competitors_msk+spb_cpl
0	Таможка Страны Поиск КС
1080550000	Таможка Общие Поиск КС
0	Таможка Общие Поиск АТ
0	Таможка Страны Поиск АТ СРМ+
0	Таможка Общие Поиск АТ СРМ+
1233860000	Таможка Страны Поиск ОКК
2716890000	Таможка Общие Поиск ОКК
4060810000	sf_search_vikup-tovara_tcpa
338640000	Тайвань
0	Тайвань СРМ+
0	Малайзия СРМ+
0	Таиланд СРМ+
0	Оман СРМ+
323610000	Оман ОКК
0	Калининград
800970000	Калининград ОКК
0	Якутск СРМ+
0	Мирный СРМ+
0	Усинск СРМ+
0	Якутск ОКК
0	Мирный ОКК
0	Певек ОКК
0	Анадырь ОКК
0	sf_search_banner_manual
